"statefp","cd116fp","namelsad","lsad","cdsessn","mtfcc","funcstat","aland","awater","intptlat","intptlon","name","geoid","slug","state_id","state_name"
"27","07",Congressional District 7,C2,"116",G5200,N,86580712408,5058381039,+46.5530202,-095.6759048,"Congressional District 7, MN","50000US2707",congressional-district-7-mn,"04000US27",Minnesota
"27","02",Congressional District 2,C2,"116",G5200,N,6314464923,243358361,+44.4789680,-092.8530418,"Congressional District 2, MN","50000US2702",congressional-district-2-mn,"04000US27",Minnesota
"27","06",Congressional District 6,C2,"116",G5200,N,7460634590,408723230,+45.3368069,-093.8520551,"Congressional District 6, MN","50000US2706",congressional-district-6-mn,"04000US27",Minnesota
"27","08",Congressional District 8,C2,"116",G5200,N,72281499178,12448503736,+47.2503370,-092.9638699,"Congressional District 8, MN","50000US2708",congressional-district-8-mn,"04000US27",Minnesota
"17","01",Congressional District 1,C2,"116",G5200,N,669256000,2067510.0,+41.5466708,-087.8357472,"Congressional District 1, IL","50000US1701",congressional-district-1-il,"04000US17",Illinois
"17","18",Congressional District 18,C2,"116",G5200,N,27235396834,383133624,+40.2271844,-090.0691183,"Congressional District 18, IL","50000US1718",congressional-district-18-il,"04000US17",Illinois
"17","07",Congressional District 7,C2,"116",G5200,N,161458448,5341167.0,+41.8633320,-087.7321218,"Congressional District 7, IL","50000US1707",congressional-district-7-il,"04000US17",Illinois
"17","02",Congressional District 2,C2,"116",G5200,N,2798736458,25389182,+41.2562081,-087.7901148,"Congressional District 2, IL","50000US1702",congressional-district-2-il,"04000US17",Illinois
"31","01",Congressional District 1,C2,"116",G5200,N,22995959831,249898247,+41.3744593,-096.8286623,"Congressional District 1, NE","50000US3101",congressional-district-1-ne,"04000US31",Nebraska
"06","36",Congressional District 36,C2,"116",G5200,N,15312870769,201717828,+33.7300127,-115.7393369,"Congressional District 36, CA","50000US0636",congressional-district-36-ca,"04000US06",California
"06","16",Congressional District 16,C2,"116",G5200,N,7354826326,118249352,+37.1086529,-120.5188666,"Congressional District 16, CA","50000US0616",congressional-district-16-ca,"04000US06",California
"06","46",Congressional District 46,C2,"116",G5200,N,187083544,995827.0,+33.7908040,-117.8963627,"Congressional District 46, CA","50000US0646",congressional-district-46-ca,"04000US06",California
"06","37",Congressional District 37,C2,"116",G5200,N,143132731,351790.0,+34.0168971,-118.3717636,"Congressional District 37, CA","50000US0637",congressional-district-37-ca,"04000US06",California
"06","33",Congressional District 33,C2,"116",G5200,N,747577389,489486946,+34.0465389,-118.9443071,"Congressional District 33, CA","50000US0633",congressional-district-33-ca,"04000US06",California
"06","15",Congressional District 15,C2,"116",G5200,N,1549131567,73625793,+37.6571483,-121.8362453,"Congressional District 15, CA","50000US0615",congressional-district-15-ca,"04000US06",California
"18","02",Congressional District 2,C2,"116",G5200,N,10253189601,131728583,+41.2487244,-086.2367980,"Congressional District 2, IN","50000US1802",congressional-district-2-in,"04000US18",Indiana
"18","09",Congressional District 9,C2,"116",G5200,N,11622090122,144580780,+38.7829414,-086.2122933,"Congressional District 9, IN","50000US1809",congressional-district-9-in,"04000US18",Indiana
"18","06",Congressional District 6,C2,"116",G5200,N,16075565107,106706879,+39.4752185,-085.3763377,"Congressional District 6, IN","50000US1806",congressional-district-6-in,"04000US18",Indiana
