"region","division","statefp","statens","stusps","name","lsad","mtfcc","funcstat","aland","awater","intptlat","intptlon","slug","geoid"
"3","5","54","01779805",WV,West Virginia,"00",G4000,A,62266474513,489028543,+38.6472854,-080.6183274,west-virginia,"04000US54"
"3","5","12","00294478",FL,Florida,"00",G4000,A,138949136250,31361101223,+28.4574302,-082.4091477,florida,"04000US12"
"2","3","17","01779784",IL,Illinois,"00",G4000,A,143780567633,6214824948,+40.1028754,-089.1526108,illinois,"04000US17"
"2","4","27","00662849",MN,Minnesota,"00",G4000,A,206228939448,18945217189,+46.3159573,-094.1996043,minnesota,"04000US27"
"3","5","24","01714934",MD,Maryland,"00",G4000,A,25151100280,6979966958,+38.9466584,-076.6744939,maryland,"04000US24"
"1","1","44","01219835",RI,Rhode Island,"00",G4000,A,2677779902,1323670487,+41.5974187,-071.5272723,rhode-island,"04000US44"
"4","8","16","01779783",ID,Idaho,"00",G4000,A,214049787659,2391722557,+44.3484222,-114.5588538,idaho,"04000US16"
"1","1","33","01779794",NH,New Hampshire,"00",G4000,A,23189413166,1026675248,+43.6726907,-071.5843145,new-hampshire,"04000US33"
"3","5","37","01027616",NC,North Carolina,"00",G4000,A,125923656064,13466071395,+35.5397100,-079.1308636,north-carolina,"04000US37"
"1","1","50","01779802",VT,Vermont,"00",G4000,A,23874175944,1030416650,+44.0685773,-072.6691839,vermont,"04000US50"
"1","1","09","01779780",CT,Connecticut,"00",G4000,A,12542497068,1815617571,+41.5798637,-072.7466572,connecticut,"04000US09"
"3","5","10","01779781",DE,Delaware,"00",G4000,A,5045925646,1399985648,+38.9985661,-075.4416440,delaware,"04000US10"
"4","8","35","00897535",NM,New Mexico,"00",G4000,A,314196306401,728776523,+34.4346843,-106.1316181,new-mexico,"04000US35"
"4","9","06","01779778",CA,California,"00",G4000,A,403503931312,20463871877,+37.1551773,-119.5434183,california,"04000US06"
"1","2","34","01779795",NJ,New Jersey,"00",G4000,A,19047825980,3544860246,+40.1072744,-074.6652012,new-jersey,"04000US34"
"2","3","55","01779806",WI,Wisconsin,"00",G4000,A,140290039723,29344951758,+44.6309071,-089.7093916,wisconsin,"04000US55"
"4","9","41","01155107",OR,Oregon,"00",G4000,A,248606993270,6192386935,+43.9717125,-120.6229578,oregon,"04000US41"
"2","4","31","01779792",NE,Nebraska,"00",G4000,A,198956658395,1371829134,+41.5433053,-099.8118646,nebraska,"04000US31"
"1","2","42","01779798",PA,Pennsylvania,"00",G4000,A,115884442321,3394589990,+40.9024957,-077.8334514,pennsylvania,"04000US42"
"4","9","53","01779804",WA,Washington,"00",G4000,A,172112588220,12559278850,+47.4073238,-120.5757999,washington,"04000US53"
